Stock,VaR95,ES95,VaR95_Pct,ES95_Pct
A,94.14093369407944,117.73992685138197,0.04707046684703972,0.05886996342569098
B,107.46818352017925,151.45409973491198,0.03582272784005975,0.05048469991163733
Total,152.33743133374765,200.61462475163407,0.03046748626674953,0.040122924950326815
